10:15;SU2011;Moscow (SVO);Aeroflot ;A320 (VP-BIJ) ;Departed 10:15;Departure
10:20;QS1200;Dubai (DXB);SmartWings ;B38M (OK-SWF) ;Departed 10:44;Departure
10:25;LX1485;Zurich (ZRH);Swiss ;BCS3 (HB-JCC) ;Departed 10:46;Departure
10:40;DY4576;Gothenburg (GOT);Norwegian (Christopher Columbus Livery) ;B738 (LN-NIH) ;Departed 10:53;Departure
10:40;U27366;Southend (SEN);easyJet ;A319 (OE-LQT) ;Departed 10:54;Departure
10:50;LH1393;Frankfurt (FRA);Lufthansa ;A321 (D-AIRC) ;Departed 11:05;Departure
10:50;LS888;Manchester (MAN);Jet2 ;B738 (G-JZHW) ;Departed 11:35;Departure
10:50;QS1198;Moscow (SVO);SmartWings ;B738 (OK-TVJ) ;Departed 11:24;Departure
11:00;S7858;Novosibirsk (OVB);S7 Airlines ;A20N (VQ-BRA) ;Departed 11:40;Departure
11:10;OK802;Bucharest (OTP);Czech Airlines ;AT75 (OK-MFT) ;Departed 11:43;Departure
11:10;SU6622;St. Petersburg (LED);Rossiya ;A319 (VQ-BAQ) ;Departed 11:32;Departure
11:15;OK700;Madrid (MAD);Czech Airlines ;A321 (OY-RUU) ;Departed 11:55;Departure
11:15;QS1026;Lamezia Terme (SUF);SmartWings ;B38M (OK-SWB) ;Departed 11:26;Departure
11:15;BA855;London (LHR);British Airways ;A20N (G-TTNE) ;Departed 11:21;Departure
11:20;OK886;St. Petersburg (LED);Czech Airlines ;A319 (OK-MEK) ;Departed 11:42;Departure
11:20;OS706;Vienna (VIE);Austrian Airlines (Star Alliance Livery) ;DH8D (OE-LGR) ;Departed 11:49;Departure
11:25;A3865;Athens (ATH);Aegean Airlines ;A320 (SX-DVR) ;Departed 11:46;Departure
11:25;LY2522;Tel Aviv (TLV);UP ;B738 (4X-EKU) ;Departed 12:04;Departure
11:25;OK688;Barcelona (BCN);SmartWings ;B738 (OK-TVH) ;Departed 12:11;Departure
11:25;QS1148;Rhodes (RHO);SmartWings ;B738 (OK-TSR) ;Departed 12:05;Departure
11:30;QS1144;Zakynthos (ZTH);Travel Service (Moravian Silesian Region Livery) ;B738 (OK-TVO) ;Departed 12:00;Departure
11:30;XC552;Antalya (AYT);Corendon Airlines ;B38M (TC-MKS) ;Departed 12:38;Departure
11:35;AA53;Philadelphia (PHL);American Airlines ;B763 (N396AN) ;Departed 11:51;Departure
11:35;AY1222;Helsinki (HEL);Finnair ;A321 (OH-LZF) ;Departed 12:08;Departure
11:40;OK480;Helsinki (HEL);Czech Airlines ;A319 (OK-MEL) ;Departed 11:57;Departure
11:40;SN2810;Brussels (BRU);Brussels Airlines ;A319 (OO-SSJ) ;Departed 12:27;Departure
11:40;OK490;Stockholm (ARN);Go2Sky ;B734 (OM-GTB) ;Departed 11:58;Departure
11:50;DY4572;Stockholm (ARN);Norwegian (Helmer Hansen Livery) ;B738 (LN-NIB) ;Departed 12:24;Departure
11:50;LH1395;Frankfurt (FRA);Lufthansa ;A319 (D-AILR) ;Departed 12:17;Departure
11:50;QS1196;Antalya (AYT);SmartWings ;B738 (OK-TVP) ;Departed 12:15;Departure
11:50;OK496;Gothenburg (GOT);Czech Airlines ;AT75 (OK-NFU) ;Departed 12:13;Departure
12:00;QS1104;Heraklion (HER);SmartWings ;B38M (OK-SWE) ;Departed 12:47;Departure
12:00;QS2036;Tenerife (TFS);Travel Service ;B739 (OK-TSI) ;Departed 12:22;Departure
12:05;OK24;Ostrava (OSR);Czech Airlines ;AT45 (OK-KFN) ;Departed 12:15;Departure
12:05;OK782;Warsaw (WAW);Czech Airlines (SkyTeam Livery) ;AT75 (OK-GFR) ;Departed 12:18;Departure
12:05;OK724;Rome (FCO);Czech Airlines (SkyTeam Livery) ;A319 (OK-PET) ;Departed 12:20;Departure
12:10;FB302;Sofia (SOF);Bulgaria Air ;E190 (LZ-SOF) ;Departed 12:54;Departure
12:10;OK790;Budapest (BUD);Czech Airlines ;AT75 (OK-NFV) ;Departed 12:20;Departure
12:15;OK972;Kosice (KSC);Czech Airlines ;AT75 (OK-GFQ) ;Departed 12:25;Departure
12:15;QS1084;Dubrovnik (DBV);SmartWings ;B737 (OK-SWW) ;Departed 13:06;Departure
12:15;QS1162;Ibiza (IBZ);SmartWings ;B738 (OK-TSH) ;Departed 13:08;Departure
12:20;QS1170;Funchal (FNC);Travel Service ;B739 (OK-TSM) ;Departed 13:03;Departure
12:25;QS1082;Split (SPU);Travel Service ;B738 (OK-TVF) ;Departed 13:00;Departure
12:25;U28994;London (LGW);easyJet ;A319 (G-EZIX) ;Departed 13:21;Departure
12:25;OK760;Paris (CDG);Czech Airlines ;A319 (OK-REQ) ;Departed 12:55;Departure
12:30;QS1020;Olbia (OLB);SmartWings ;B738 (OK-TVY) ;Departed 12:50;Departure
12:30;QS1096;London (LGW);Travel Service ;B738 (OK-TVL) ;Departed 15:08;Departure
12:30;DY1503;Oslo (OSL);Norwegian (Aksel Sandemose Livery) ;B738 (LN-DYP) ;Departed 12:59;Departure
12:35;TS101;Montreal (YUL);Air Transat ;A310 (C-GFAT) ;Departed 13:50;Departure
12:40;A9788;Tbilisi (TBS);Georgian Airways ;E190 (4L-TGV) ;Departed 13:34;Departure
12:40;OK894;Moscow (SVO);Czech Airlines ;A319 (OK-NEN) ;Departed 13:15;Departure
12:45;QS1284;Tel Aviv (TLV);SmartWings ;B38M (OK-SWD) ;Departed 13:24;Departure
12:55;FR4069;Krakow (KRK);Ryanair ;B738 (EI-FOV) ;Departed 13:13;Departure
13:00;OK662;Birmingham (BHX);Czech Airlines ;A319 (OK-NEO) ;Departed 13:32;Departure
13:00;LH1691;Munich (MUC);Lufthansa ;A319 (D-AIBA) ;Departed 13:26;Departure
13:00;LO528;Warsaw (WAW);LOT ;E75S (SP-LIO) ;Departed 13:17;Departure
13:05;SU2013;Moscow (SVO);Aeroflot ;A320 (VQ-BSU) ;Departed 13:43;Departure
13:10;A54413;Lyon (LYS);HOP! ;CRJ7 (F-GRZI) ;Departed 13:27;Departure
13:20;V72207;Nantes (NTE);Volotea ;A319 (EC-MTB) ;Departed 13:57;Departure
13:25;VY8653;Barcelona (BCN);Vueling ;A320 (EC-LZZ) ;Departed 13:48;Departure
13:30;U22582;Milan (MXP);easyJet ;A320 (OE-IJN) ;Departed 13:58;Departure
13:30;U27906;Amsterdam (AMS);easyJet (Austria Livery) ;A320 (OE-IVA) ;Departed 14:01;Departure
13:40;DL211;New York (JFK);Delta Air Lines ;B763 (N173DZ) ;Departed 14:08;Departure
13:45;BA863;London (LHR);British Airways ;A320 (G-EUYH) ;Departed 14:03;Departure
13:50;B2862;Minsk (MSQ);Belavia ;B735 (EW-253PA) ;Departed 14:06;Departure
14:15;FR8562;Liverpool (LPL);Ryanair ;B738 (EI-FZB) ;Departed 14:30;Departure
14:15;LH1397;Frankfurt (FRA);Lufthansa ;A320 (D-AIZN) ;Departed 14:21;Departure
14:20;KL1356;Amsterdam (AMS);KLM ;B738 (PH-BXA) ;Departed 14:58;Departure
14:20;OK730;Bologna (BLQ);Czech Airlines ;AT75 (OK-GFS) ;Departed 14:27;Departure
14:35;CY261;Larnaca (LCA);Cyprus Airways ;A319 (5B-DCX) ;Departed 14:45;Departure
14:35;LX1487;Zurich (ZRH);Swiss ;A320 (HB-JLS) ;Departed 14:42;Departure
14:35;TK1772;Istanbul (IST);Turkish Airlines ;A321 (TC-JRH) ;Departed 15:32;Departure
14:45;HU7938;Beijing (PEK);Hainan Airlines ;A333 (B-5905) ;Departed 14:52;Departure
14:50;BA7338;London (LCY);British Airways ;E190 (G-LCYT) ;Departed 15:01;Departure
15:05;U23068;London (STN);easyJet ;A319 (G-EZBK) ;Departed 16:17;Departure
15:20;OS708;Vienna (VIE);Austrian Airlines ;DH8D (OE-LGN) ;Departed 15:20;Departure
15:25;AF1083;Paris (CDG);Air France ;A321 (F-GTAT) ;Departed 16:02;Departure
15:30;HV5236;Eindhoven (EIN);Transavia ;B738 (PH-GGX) ;Departed 15:40;Departure
15:30;PC302;Istanbul (SAW);Pegasus Airlines ;A320 (TC-DCF) ;Departed 15:56;Departure
15:30;VY6161;Rome (FCO);Vueling ;A320 (EC-MXP) ;Departed 15:58;Departure
