8:10;U28208;Berlin (SXF);easyJet ;A319 (G-EZBD) ;Blabla;Arrival
8:20;BA2953;Glasgow (GLA);British Airways ;A320 (G-MEDK) ;Blabla;Arrival
8:20;U2882;Glasgow (GLA);EasyJet ;A319 (G-EZGR) ;Blabla;Arrival
8:20;U28190;Milan (MXP);easyJet ;A319 (G-EZEN) ;Blabla;Arrival
8:25;WS24;Halifax (YHZ);WestJet ;B38M (C-FNAX) ;Blabla;Arrival
8:25;BA2931;Edinburgh (EDI);British Airways ;A319 (G-DBCH) ;Blabla;Arrival
8:25;VY7834;Barcelona (BCN);Vueling ;A320 (EC-MFN) ;Blabla;Arrival
8:30;U28274;Madrid (MAD);easyJet ;A320 (OE-IZV) ;Blabla;Arrival
8:35;BE801;Newquay (NQY);Flybe ;E75S (G-FBJH) ;Blabla;Arrival
8:35;U28570;Barcelona (BCN);easyJet ;A320 (OE-IVO) ;Blabla;Arrival
8:35;U28622;Palma de Mallorca (PMI);easyJet ;A320 (OE-IVC) ;Blabla;Arrival
8:40;BT651;Riga (RIX);Air Baltic ;BCS3 (YL-CSJ) ;Blabla;Arrival
8:40;DY1302;Oslo (OSL);Norwegian (Jorn Utzon Livery) ;B738 (LN-DYU) ;Blabla;Arrival
8:40;D82849;Stockholm (ARN);Norwegian ;B738 (EI-FVH) ;Blabla;Arrival
8:45;U2862;Inverness (INV);easyJet ;A320 (OE-ICB) ;Blabla;Arrival
8:50;BA2262;Kingston (KIN);British Airways ;B772 (G-VIIP) ;Blabla;Arrival
8:50;VS90;Vieux Fort (UVF);Virgin Atlantic ;A332 (G-VWND) ;Blabla;Arrival
8:55;BA2158;Vieux Fort (UVF);British Airways ;B772 (G-VIIL) ;Blabla;Arrival
8:55;EI230;Dublin (DUB);Aer Lingus ;A320 (EI-CVC) ;Blabla;Arrival
8:55;VY7822;Barcelona (BCN);Vueling ;A321 (EC-MHA) ;Blabla;Arrival
9:00;UX1013;Madrid (MAD);Air Europa ;E195 (EC-LEK) ;Blabla;Arrival
9:00;U28582;Porto (OPO);easyJet ;A320 (G-EZUZ) ;Blabla;Arrival
9:05;VS16;Orlando (MCO);Virgin Atlantic ;B744 (G-VROS) ;Blabla;Arrival
9:10;D8366;Helsinki (HEL);Norwegian ;B738 (EI-FJK) ;Blabla;Arrival
9:10;D85000;Malaga (AGP);Norwegian ;B738 (EI-FVL) ;Blabla;Arrival
